Energy Loss	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity
-0.311	616.763	238.8775	1115.2616	363.0174	1072.376	2225.2352	825.0614	1323.1255	954.0646	794.3738
-0.3022	881.5004	1235.2143	567.5128	255.1559	1351.7578	2317.237	1611.4471	1150.6187	982.2188	1426.5711
-0.2934	1418.2554	1664.3896	151.2729	862.6177	2052.3946	2512.7958	1089.6758	1017.6009	1753.0965	219.2435
-0.2846	986.0277	2073.2379	333.1055	315.6876	1906.028	2728.3511	862.2243	806.3325	1239.9478	64.5032
-0.2758	517.5197	1710.0936	626.8031	937.1206	1313.712	2740.794	956.2396	981.2398	942.9509	601.1332
-0.267	11.6954	716.1026	814.5035	1374.1622	914.6217	2439.3173	209.8576	1041.1152	1576.3157	907.2698
-0.2582	579.9347	1056.3172	1003.3901	901.7727	885.7436	4830.6917	1181.888	817.7407	643.4584	1010.1414
-0.2493	688.67	1181.6765	741.8774	1142.3433	768.3619	3461.1122	1115.4236	1804.1326	657.2414	1390.5877
-0.2405	1277.0548	1069.5692	927.017	1372.2949	1318.1797	816.9521	980.9866	1499.2849	216.2812	721.4155
-0.2317	1017.6506	854.5796	843.5975	1762.573	856.3923	1260.4091	654.9328	1262.3936	394.796	754.8558
-0.2229	861.2085	928.7137	2099.0271	1101	742.4828	1510.285	219.857	1554.9424	186.9007	497.0841
-0.2141	1164.5225	1987.7059	1500.4291	1464.4458	1394.1097	522.0906	1397.3452	795.6652	981.9862	471.9651
-0.2053	900.6644	1869.0908	1130.7227	1795.3069	1032.4288	890.8612	1588.8458	924.1107	1671.1744	767.0253
-0.1965	1292.9179	1385.1103	1153.7706	1602.9416	1479.5168	2278.5269	1890.1776	1192.0736	851.5858	1904.9354
-0.1877	957.7057	1533.8913	1267.8096	879.6458	1255.0508	1384.5419	1975.1099	146.9038	1013.1897	1419.1772
-0.1789	579.998	2167.6702	633.0757	571.3172	1269.6526	1079.106	1870.7896	166.2697	1427.7254	1053.1814
-0.1701	356.1919	1162.5722	1130.6121	1078.3501	1278.439	241.6203	1431.6307	727.0602	1558.262	1443.6083
-0.1613	1016.5031	705.0244	1079.9392	1387.2644	1177.9211	1083.0215	1021.6311	1036.1122	435.339	2014.9289
-0.1525	1355.7916	615.922	822.7586	1731.4829	1339.9138	662.0414	994.8093	1949.3509	662.8155	979.9264
-0.1437	690.4664	1704.2208	813.9062	1888.0026	893.6217	540.0244	992.5948	977.7533	430.345	1489.5717
-0.1349	952.5054	2159.5838	808.9251	1146.8598	1247.8706	534.954	1454.3563	1180.8488	75.1732	642.9605
-0.1261	574.9732	3476.2191	422.6751	1688.456	1222.7676	434.5944	440.2614	1338.1228	96.2974	515.725
-0.1173	125.3843	2436.8977	1313.1117	1783.1612	1312.0031	1022.9118	889.655	1392.1614	989.9078	0
-0.1085	762.7177	1259.4629	1605.3811	1729.2324	1433.9283	945.8467	893.5207	1165.4608	1227.6581	241.21
-0.0997	1099.1488	1317.2166	798.5187	1590.9572	935.6353	1311.6022	1014.9124	1064.2441	1791.2588	1309.1222
-0.0909	926.2433	1059.8396	1635.5343	1423.1943	1011.5176	483.7464	1163.6027	964.2903	1091.1511	695.9804
-0.0821	1201.4779	602.4935	972.2001	1579.5406	1187.3412	134.522	1372.863	1154.7348	1452.0323	813.3283
